Calculating heatmap for κ = 0.3 MHz
Progress: 125/231 (input power: 0 dB, target frequency: 18.0 MHz)
Progress: 126/231 (input power: 0 dB, target frequency: 20.0 MHz)
Progress: 127/231 (input power: -2 dB, target frequency: -20.0 MHz)
Progress: 128/231 (input power: -2 dB, target frequency: -18.0 MHz)
Progress: 129/231 (input power: -2 dB, target frequency: -16.0 MHz)
Progress: 130/231 (input power: -2 dB, target frequency: -14.0 MHz)
Progress: 131/231 (input power: -2 dB, target frequency: -12.0 MHz)
Progress: 132/231 (input power: -2 dB, target frequency: -10.0 MHz)
Progress: 133/231 (input power: -2 dB, target frequency: -8.0 MHz)
Progress: 134/231 (input power: -2 dB, target frequency: -6.0 MHz)
Progress: 135/231 (input power: -2 dB, target frequency: -4.0 MHz)
Progress: 136/231 (input power: -2 dB, target frequency: -2.0 MHz)
Progress: 137/231 (input power: -2 dB, target frequency: 0.0 MHz)
Progress: 138/231 (input power: -2 dB, target frequency: 2.0 MHz)
Progress: 139/231 (input power: -2 dB, target frequency: 4.0 MHz)
Progress: 140/231 (input power: -2 dB, target frequency: 6.0 MHz)
Progress: 141/231 (input power: -2 dB, target frequency: 8.0 MHz)
Progress: 142/231 (input power: -2 dB, target frequency: 10.0 MHz)
Progress: 143/231 (input power: -2 dB, target frequency: 12.0 MHz)
Progress: 144/231 (input power: -2 dB, target frequency: 14.0 MHz)
Progress: 145/231 (input power: -2 dB, target frequency: 16.0 MHz)
Progress: 146/231 (input power: -2 dB, target frequency: 18.0 MHz)
Progress: 147/231 (input power: -2 dB, target frequency: 20.0 MHz)
Progress: 148/231 (input power: -4 dB, target frequency: -20.0 MHz)
Progress: 149/231 (input power: -4 dB, target frequency: -18.0 MHz)
Progress: 150/231 (input power: -4 dB, target frequency: -16.0 MHz)
Progress: 151/231 (input power: -4 dB, target frequency: -14.0 MHz)
Progress: 152/231 (input power: -4 dB, target frequency: -12.0 MHz)
Progress: 153/231 (input power: -4 dB, target frequency: -10.0 MHz)
Progress: 154/231 (input power: -4 dB, target frequency: -8.0 MHz)
Progress: 155/231 (input power: -4 dB, target frequency: -6.0 MHz)
Progress: 156/231 (input power: -4 dB, target frequency: -4.0 MHz)
Progress: 157/231 (input power: -4 dB, target frequency: -2.0 MHz)
Progress: 158/231 (input power: -4 dB, target frequency: 0.0 MHz)
Progress: 159/231 (input power: -4 dB, target frequency: 2.0 MHz)
Progress: 160/231 (input power: -4 dB, target frequency: 4.0 MHz)
Progress: 161/231 (input power: -4 dB, target frequency: 6.0 MHz)
Progress: 162/231 (input power: -4 dB, target frequency: 8.0 MHz)
Progress: 163/231 (input power: -4 dB, target frequency: 10.0 MHz)
Progress: 164/231 (input power: -4 dB, target frequency: 12.0 MHz)
Progress: 165/231 (input power: -4 dB, target frequency: 14.0 MHz)
Progress: 166/231 (input power: -4 dB, target frequency: 16.0 MHz)
Progress: 167/231 (input power: -4 dB, target frequency: 18.0 MHz)
Progress: 168/231 (input power: -4 dB, target frequency: 20.0 MHz)
Progress: 169/231 (input power: -6 dB, target frequency: -20.0 MHz)
Progress: 170/231 (input power: -6 dB, target frequency: -18.0 MHz)
Progress: 171/231 (input power: -6 dB, target frequency: -16.0 MHz)
Progress: 172/231 (input power: -6 dB, target frequency: -14.0 MHz)
Progress: 173/231 (input power: -6 dB, target frequency: -12.0 MHz)
Progress: 174/231 (input power: -6 dB, target frequency: -10.0 MHz)
Progress: 175/231 (input power: -6 dB, target frequency: -8.0 MHz)
Progress: 176/231 (input power: -6 dB, target frequency: -6.0 MHz)
Progress: 177/231 (input power: -6 dB, target frequency: -4.0 MHz)
Progress: 178/231 (input power: -6 dB, target frequency: -2.0 MHz)
Progress: 179/231 (input power: -6 dB, target frequency: 0.0 MHz)
Progress: 180/231 (input power: -6 dB, target frequency: 2.0 MHz)
Progress: 181/231 (input power: -6 dB, target frequency: 4.0 MHz)
Progress: 182/231 (input power: -6 dB, target frequency: 6.0 MHz)
Progress: 183/231 (input power: -6 dB, target frequency: 8.0 MHz)
Progress: 184/231 (input power: -6 dB, target frequency: 10.0 MHz)
Progress: 185/231 (input power: -6 dB, target frequency: 12.0 MHz)
Progress: 186/231 (input power: -6 dB, target frequency: 14.0 MHz)
Progress: 187/231 (input power: -6 dB, target frequency: 16.0 MHz)
Progress: 188/231 (input power: -6 dB, target frequency: 18.0 MHz)
Progress: 189/231 (input power: -6 dB, target frequency: 20.0 MHz)
Progress: 190/231 (input power: -8 dB, target frequency: -20.0 MHz)
Progress: 191/231 (input power: -8 dB, target frequency: -18.0 MHz)
Progress: 192/231 (input power: -8 dB, target frequency: -16.0 MHz)
Progress: 193/231 (input power: -8 dB, target frequency: -14.0 MHz)
Progress: 194/231 (input power: -8 dB, target frequency: -12.0 MHz)
Progress: 195/231 (input power: -8 dB, target frequency: -10.0 MHz)
Progress: 196/231 (input power: -8 dB, target frequency: -8.0 MHz)
Progress: 197/231 (input power: -8 dB, target frequency: -6.0 MHz)
Progress: 198/231 (input power: -8 dB, target frequency: -4.0 MHz)
Progress: 199/231 (input power: -8 dB, target frequency: -2.0 MHz)
Progress: 200/231 (input power: -8 dB, target frequency: 0.0 MHz)
Progress: 201/231 (input power: -8 dB, target frequency: 2.0 MHz)
Progress: 202/231 (input power: -8 dB, target frequency: 4.0 MHz)
Progress: 203/231 (input power: -8 dB, target frequency: 6.0 MHz)
Progress: 204/231 (input power: -8 dB, target frequency: 8.0 MHz)
Progress: 205/231 (input power: -8 dB, target frequency: 10.0 MHz)
Progress: 206/231 (input power: -8 dB, target frequency: 12.0 MHz)
Progress: 207/231 (input power: -8 dB, target frequency: 14.0 MHz)
Progress: 208/231 (input power: -8 dB, target frequency: 16.0 MHz)
Progress: 209/231 (input power: -8 dB, target frequency: 18.0 MHz)
Progress: 210/231 (input power: -8 dB, target frequency: 20.0 MHz)
Progress: 211/231 (input power: -10 dB, target frequency: -20.0 MHz)
Progress: 212/231 (input power: -10 dB, target frequency: -18.0 MHz)
Progress: 213/231 (input power: -10 dB, target frequency: -16.0 MHz)
Progress: 214/231 (input power: -10 dB, target frequency: -14.0 MHz)
Progress: 215/231 (input power: -10 dB, target frequency: -12.0 MHz)
Progress: 216/231 (input power: -10 dB, target frequency: -10.0 MHz)
Progress: 217/231 (input power: -10 dB, target frequency: -8.0 MHz)
